,key_bbref,yearID,gameNum,gameID,teamID,lgID,GP,startingPos,name_last,name_first
189,perezod01,2002,0,NLS200207090,LAN,NL,1,,perez,odalis
190,remlimi01,2002,0,NLS200207090,ATL,NL,1,,remlinger,mike
191,santibe01,2002,0,NLS200207090,SFN,NL,1,,santiago,benito
192,sexsori01,2002,0,NLS200207090,MIL,NL,1,,sexson,richie
193,smoltjo01,2002,0,NLS200207090,ATL,NL,1,,smoltz,john
194,spiveju01,2002,0,NLS200207090,ARI,NL,1,,spivey,junior
195,willimi03,2002,0,NLS200207090,PIT,NL,1,,williams,mike
196,loaizes01,2003,0,ALS200307150,CHA,AL,1,1,loaiza,esteban
197,posadjo01,2003,0,ALS200307150,NYA,AL,1,2,posada,jorge
198,delgaca01,2003,0,ALS200307150,TOR,AL,1,3,delgado,carlos
199,soriaal01,2003,0,ALS200307150,NYA,AL,1,4,soriano,alfonso
200,glaustr01,2003,0,ALS200307150,LAA,AL,1,5,glaus,troy
201,rodrial01,2003,0,ALS200307150,TEX,AL,1,6,rodriguez,alex
202,anderga01,2003,0,ALS200307150,LAA,AL,1,7,anderson,garret
203,matsuhi01,2003,0,ALS200307150,NYA,AL,1,8,matsui,hideki
204,suzukic01,2003,0,ALS200307150,SEA,AL,1,9,suzuki,ichiro
205,martied01,2003,0,ALS200307150,SEA,AL,1,10,martinez,edgar
206,blaloha01,2003,0,ALS200307150,TEX,AL,1,,blalock,hank
207,boonebr01,2003,0,ALS200307150,SEA,AL,1,,boone,bret
208,cartela02,2003,0,ALS200307150,TBA,AL,0,,carter,lance
209,clemero02,2003,0,ALS200307150,NYA,AL,1,,clemens,roger
210,donnebr01,2003,0,ALS200307150,LAA,AL,1,,donnelly,brendan
211,evereca01,2003,0,ALS200307150,CHA,AL,1,,everett,carl
212,foulkke01,2003,0,ALS200307150,OAK,AL,1,,foulke,keith
213,garcino01,2003,0,ALS200307150,BOS,AL,1,,garciaparra,nomar
214,giambja01,2003,0,ALS200307150,NYA,AL,1,,giambi,jason
215,guarded01,2003,0,ALS200307150,MIN,AL,1,,guardado,eddie
216,hallaro01,2003,0,ALS200307150,TOR,AL,0,,halladay,roy
217,hasegsh01,2003,0,ALS200307150,SEA,AL,1,,hasegawa,shigetoshi
218,hernara02,2003,0,ALS200307150,OAK,AL,1,,hernandez,ramon
219,macdomi01,2003,0,ALS200307150,KCA,AL,0,,macdougal,mike
220,morame01,2003,0,ALS200307150,BAL,AL,1,,mora,melvin
221,moyerja01,2003,0,ALS200307150,SEA,AL,1,,moyer,jamie
222,muldema01,2003,0,ALS200307150,OAK,AL,1,,mulder,mark
223,ordonma01,2003,0,ALS200307150,CHA,AL,1,,ordonez,magglio
224,ramirma02,2003,0,ALS200307150,BOS,AL,0,,ramirez,manny
225,sabatcc01,2003,0,ALS200307150,CLE,AL,0,,,
226,sweenmi01,2003,0,ALS200307150,KCA,AL,0,,sweeney,mike
227,varitja01,2003,0,ALS200307150,BOS,AL,0,,varitek,jason
228,wellsve01,2003,0,ALS200307150,TOR,AL,1,,wells,vernon
229,youngdm01,2003,0,ALS200307150,DET,AL,0,,young,dmitri
230,zitoba01,2003,0,ALS200307150,OAK,AL,0,,zito,barry
231,schmija01,2003,0,ALS200307150,SFN,NL,1,1,schmidt,jason
232,lopezja01,2003,0,ALS200307150,ATL,NL,1,2,lopez,javy
233,heltoto01,2003,0,ALS200307150,COL,NL,1,3,helton,todd
234,vidrojo01,2003,0,ALS200307150,MON,NL,1,4,vidro,jose
235,rolensc01,2003,0,ALS200307150,SLN,NL,1,5,rolen,scott
236,renteed01,2003,0,ALS200307150,SLN,NL,1,6,renteria,edgar
237,pujolal01,2003,0,ALS200307150,SLN,NL,1,7,pujols,albert
238,edmonji01,2003,0,ALS200307150,SLN,NL,1,8,edmonds,jim
239,sheffga01,2003,0,ALS200307150,ATL,NL,1,9,sheffield,gary
240,bondsba01,2003,0,ALS200307150,SFN,NL,1,10,bonds,barry
241,benitar01,2003,0,ALS200307150,NYN,NL,0,,benitez,armando
242,booneaa01,2003,0,ALS200307150,CIN,NL,1,,boone,aaron
243,brownke01,2003,0,ALS200307150,LAN,NL,0,,brown,kevin
244,castilu01,2003,0,ALS200307150,FLO,NL,1,,castillo,luis
245,chacosh01,2003,0,ALS200307150,COL,NL,0,,chacon,shawn
246,furcara01,2003,0,ALS200307150,ATL,NL,1,,,
247,gagneer01,2003,0,ALS200307150,LAN,NL,1,,gagne,eric
248,gilesma01,2003,0,ALS200307150,ATL,NL,0,,giles,marcus
249,gonzalu01,2003,0,ALS200307150,ARI,NL,1,,gonzalez,luis
250,jenkige01,2003,0,ALS200307150,MIL,NL,0,,jenkins,geoff
251,jonesan01,2003,0,ALS200307150,ATL,NL,1,,jones,andruw
252,loducpa01,2003,0,ALS200307150,LAN,NL,1,,lo duca,paul
253,lowelmi01,2003,0,ALS200307150,FLO,NL,1,,lowell,mike
254,ortizru01,2003,0,ALS200307150,ATL,NL,1,,ortiz,russ
255,priorma01,2003,0,ALS200307150,CHN,NL,0,,prior,mark
256,sexsori01,2003,0,ALS200307150,MIL,NL,1,,sexson,richie
257,smoltjo01,2003,0,ALS200307150,ATL,NL,0,,smoltz,john
258,wagnebi02,2003,0,ALS200307150,HOU,NL,1,,wagner,billy
259,whitero02,2003,0,ALS200307150,SDN,NL,1,,white,rondell
260,willido03,2003,0,ALS200307150,FLO,NL,0,,willis,dontrelle
261,willimi03,2003,0,ALS200307150,PIT,NL,0,,williams,mike
262,williwo02,2003,0,ALS200307150,SLN,NL,1,,williams,woody
263,wilsopr01,2003,0,ALS200307150,COL,NL,1,,wilson,preston
264,wolfra02,2003,0,ALS200307150,PHI,NL,1,,wolf,randy
265,woodke02,2003,0,ALS200307150,CHN,NL,1,,wood,kerry
266,muldema01,2004,0,NLS200407130,OAK,AL,1,1,mulder,mark
267,rodriiv01,2004,0,NLS200407130,DET,AL,1,2,rodriguez,ivan
268,giambja01,2004,0,NLS200407130,NYA,AL,1,3,giambi,jason
269,soriaal01,2004,0,NLS200407130,TEX,AL,1,4,soriano,alfonso
270,rodrial01,2004,0,NLS200407130,NYA,AL,1,5,rodriguez,alex
271,jeterde01,2004,0,NLS200407130,NYA,AL,1,6,jeter,derek
272,ramirma02,2004,0,NLS200407130,BOS,AL,1,7,ramirez,manny
273,suzukic01,2004,0,NLS200407130,SEA,AL,1,8,suzuki,ichiro
274,guerrvl01,2004,0,NLS200407130,LAA,AL,1,9,guerrero,vladimir
275,belliro01,2004,0,NLS200407130,CLE,AL,1,,belliard,ronnie
276,blaloha01,2004,0,NLS200407130,TEX,AL,1,,blalock,hank
277,cordefr01,2004,0,NLS200407130,TEX,AL,0,,cordero,francisco
278,crawfca02,2004,0,NLS200407130,TBA,AL,1,,crawford,carl
279,gordoto01,2004,0,NLS200407130,NYA,AL,1,,gordon,tom
280,guillca01,2004,0,NLS200407130,DET,AL,0,,guillen,carlos
281,harveke01,2004,0,NLS200407130,KCA,AL,1,,harvey,ken
282,hudsoti01,2004,0,NLS200407130,OAK,AL,0,,hudson,tim
283,lawtoma02,2004,0,NLS200407130,CLE,AL,1,,lawton,matt
284,lillyte01,2004,0,NLS200407130,TOR,AL,1,,lilly,ted
285,loaizes01,2004,0,NLS200407130,CHA,AL,1,,loaiza,esteban
286,martivi01,2004,0,NLS200407130,CLE,AL,1,,martinez,victor
287,matsuhi01,2004,0,NLS200407130,NYA,AL,1,,matsui,hideki
288,nathajo01,2004,0,NLS200407130,MIN,AL,1,,nathan,joe
289,ortizda01,2004,0,NLS200407130,BOS,AL,1,,ortiz,david
290,riverma01,2004,0,NLS200407130,NYA,AL,1,,rivera,mariano
291,rodrifr03,2004,0,NLS200407130,LAA,AL,1,,rodríguez,francisco
292,rogerke01,2004,0,NLS200407130,TEX,AL,0,,rogers,kenny
293,sabatcc01,2004,0,NLS200407130,CLE,AL,1,,,
294,schilcu01,2004,0,NLS200407130,BOS,AL,0,,schilling,curt
295,sheffga01,2004,0,NLS200407130,NYA,AL,1,,sheffield,gary
296,tejadmi01,2004,0,NLS200407130,BAL,AL,1,,tejada,miguel
297,vazquja01,2004,0,NLS200407130,NYA,AL,1,,vazquez,javier
298,westbja01,2004,0,NLS200407130,CLE,AL,0,,westbrook,jake
299,youngmi02,2004,0,NLS200407130,TEX,AL,1,,young,michael
300,clemero02,2004,0,NLS200407130,HOU,NL,1,1,clemens,roger
301,piazzmi01,2004,0,NLS200407130,NYN,NL,1,2,piazza,mike
302,pujolal01,2004,0,NLS200407130,SLN,NL,1,3,pujols,albert
303,kentje01,2004,0,NLS200407130,HOU,NL,1,4,kent,jeff
304,rolensc01,2004,0,NLS200407130,SLN,NL,1,5,rolen,scott
305,renteed01,2004,0,NLS200407130,SLN,NL,1,6,renteria,edgar
306,bondsba01,2004,0,NLS200407130,SFN,NL,1,7,bonds,barry
307,berkmla01,2004,0,NLS200407130,HOU,NL,1,8,berkman,lance
308,sosasa01,2004,0,NLS200407130,CHN,NL,1,9,sosa,sammy
309,abreubo01,2004,0,NLS200407130,PHI,NL,1,,abreu,bobby
310,aloumo01,2004,0,NLS200407130,CHN,NL,1,,alou,moises
311,beltrca01,2004,0,NLS200407130,HOU,NL,1,,beltrán,carlos
312,benitar01,2004,0,NLS200407130,FLO,NL,0,,benitez,armando
313,cabremi01,2004,0,NLS200407130,FLO,NL,1,,cabrera,miguel
314,caseyse01,2004,0,NLS200407130,CIN,NL,0,,casey,sean
315,estrajo01,2004,0,NLS200407130,ATL,NL,1,,estrada,johnny
316,gagneer01,2004,0,NLS200407130,LAN,NL,1,,gagne,eric
317,glavito02,2004,0,NLS200407130,NYN,NL,1,,glavine,tom
318,graveda01,2004,0,NLS200407130,CIN,NL,0,,graves,danny
319,griffke02,2004,0,NLS200407130,CIN,NL,0,,griffey,ken
320,heltoto01,2004,0,NLS200407130,COL,NL,1,,helton,todd
321,hernali01,2004,0,NLS200407130,MON,NL,0,,hernández,liván
322,johnsra05,2004,0,NLS200407130,ARI,NL,1,,johnson,randy
323,kolbda01,2004,0,NLS200407130,MIL,NL,1,,kolb,danny
324,larkiba01,2004,0,NLS200407130,CIN,NL,1,,larkin,barry
325,loducpa01,2004,0,NLS200407130,LAN,NL,1,,lo duca,paul
326,loretma01,2004,0,NLS200407130,SDN,NL,1,,loretta,mark
327,lowelmi01,2004,0,NLS200407130,FLO,NL,1,,lowell,mike
328,pavanca01,2004,0,NLS200407130,FLO,NL,1,,pavano,carl
329,schmija01,2004,0,NLS200407130,SFN,NL,0,,schmidt,jason
330,sheetbe01,2004,0,NLS200407130,MIL,NL,1,,sheets,ben
331,thomeji01,2004,0,NLS200407130,PHI,NL,1,,thome,jim
332,wilsoja02,2004,0,NLS200407130,PIT,NL,1,,wilson,jack
333,zambrca01,2004,0,NLS200407130,CHN,NL,1,,zambrano,carlos
334,buehrma01,2005,0,ALS200507120,CHA,AL,1,1,buehrle,mark
335,varitja01,2005,0,ALS200507120,BOS,AL,1,2,varitek,jason
336,teixema01,2005,0,ALS200507120,TEX,AL,1,3,teixeira,mark
337,roberbr01,2005,0,ALS200507120,BAL,AL,1,4,roberts,brian
338,rodrial01,2005,0,ALS200507120,NYA,AL,1,5,rodriguez,alex
339,tejadmi01,2005,0,ALS200507120,BAL,AL,1,6,tejada,miguel
340,ramirma02,2005,0,ALS200507120,BOS,AL,1,7,ramirez,manny
341,damonjo01,2005,0,ALS200507120,BOS,AL,1,8,damon,johnny
342,guerrvl01,2005,0,ALS200507120,LAA,AL,1,9,guerrero,vladimir
343,ortizda01,2005,0,ALS200507120,BOS,AL,1,10,ortiz,david
344,anderga01,2005,0,ALS200507120,LAA,AL,1,,anderson,garret
345,baezda01,2005,0,ALS200507120,TBA,AL,0,,báez,danys
346,clemema01,2005,0,ALS200507120,BOS,AL,1,,clement,matt
347,colonba01,2005,0,ALS200507120,LAA,AL,1,,colon,bartolo
348,duchsju01,2005,0,ALS200507120,OAK,AL,0,,duchscherer,justin
349,garlajo01,2005,0,ALS200507120,CHA,AL,1,,garland,jon
350,hallaro01,2005,0,ALS200507120,TOR,AL,0,,halladay,roy
351,hillesh02,2005,0,ALS200507120,TOR,AL,1,,hillenbrand,shea
352,konerpa01,2005,0,ALS200507120,CHA,AL,1,,konerko,paul
353,morame01,2005,0,ALS200507120,BAL,AL,1,,mora,melvin
354,nathajo01,2005,0,ALS200507120,MIN,AL,1,,nathan,joe
355,podsesc01,2005,0,ALS200507120,CHA,AL,1,,podsednik,scott
356,riverma01,2005,0,ALS200507120,NYA,AL,1,,rivera,mariano
357,rodriiv01,2005,0,ALS200507120,DET,AL,1,,rodriguez,ivan
358,rogerke01,2005,0,ALS200507120,TEX,AL,1,,rogers,kenny
359,ryanbj01,2005,0,ALS200507120,BAL,AL,1,,,
360,santajo01,2005,0,ALS200507120,MIN,AL,1,,,
361,sheffga01,2005,0,ALS200507120,NYA,AL,1,,sheffield,gary
362,soriaal01,2005,0,ALS200507120,TEX,AL,1,,soriano,alfonso
363,suzukic01,2005,0,ALS200507120,SEA,AL,1,,suzuki,ichiro
364,sweenmi01,2005,0,ALS200507120,KCA,AL,1,,sweeney,mike
365,wickmbo01,2005,0,ALS200507120,CLE,AL,1,,wickman,bob
366,youngmi02,2005,0,ALS200507120,TEX,AL,1,,young,michael
